date,time_utc,callsign,ant1_snr_db,ant2_snr_db,delta_db,band,mode,scoring_mode,antenna_winner
2026-04-25,09:39:28,EG5OFF,-25,-19,6.0,20m,FT8,Diversity_Normal,A2
2026-04-25,09:41:43,SP9CBL,-25,-19,6.0,20m,FT8,Diversity_Normal,A2
2026-04-25,12:10:58,UR4QWW,-24,-20,4.0,20m,FT8,Diversity_Normal,A2
2026-04-25,12:11:43,OH3UCU,-24,-21,3.0,20m,FT8,Diversity_Normal,A2
2026-04-25,12:12:43,IU0RER,-24,-23,1.0,20m,FT8,Diversity_Normal,A2
2026-04-25,12:14:58,OH2GT,-24,-23,1.0,20m,FT8,Diversity_Normal,A2
2026-04-25,12:33:58,R4FDW,-25,-23,2.0,20m,FT8,Diversity_Normal,A2
2026-04-25,12:37:58,US5WFL,-24,-21,3.0,20m,FT8,Diversity_Normal,A2
2026-04-25,12:41:13,EW1EF,-24,-21,3.0,20m,FT8,Diversity_Normal,A2
2026-04-25,12:52:58,<...>,-25,-18,7.0,20m,FT8,Diversity_Normal,A2
2026-04-25,15:26:43,4X1YY,-25,-18,7.0,20m,FT8,Diversity_Normal,A2
2026-04-25,15:30:13,F6DZU,-25,-19,6.0,20m,FT8,Diversity_Normal,A2
2026-04-25,15:35:58,RX3ASQ,-24,-18,6.0,20m,FT8,Diversity_Normal,A2
2026-04-25,15:36:58,LZ1BT,-25,-19,6.0,20m,FT8,Diversity_Normal,A2
2026-04-25,15:37:58,UR1DAV,-24,-19,5.0,20m,FT8,Diversity_Normal,A2
2026-04-25,16:57:43,A65DF,-24,-23,1.0,20m,FT8,Diversity_Normal,A2
2026-04-25,17:01:13,R6DJR,-25,-17,8.0,20m,FT8,Diversity_Normal,A2
2026-04-25,17:02:43,BG5BNW,-24,-22,2.0,20m,FT8,Diversity_Normal,A2
2026-04-25,17:02:58,RC6OG,-24,-23,1.0,20m,FT8,Diversity_Normal,A2
2026-04-26,06:10:58,A71QQ,-24,-23,1.0,20m,FT8,Diversity_Normal,A2
2026-04-26,06:14:13,A60PE/14,-24,-22,2.0,20m,FT8,Diversity_Normal,A2
2026-04-26,06:23:13,R3PJ,-24,-21,3.0,20m,FT8,Diversity_Normal,A2
2026-04-26,06:24:58,RA4NCC,-24,-22,2.0,20m,FT8,Diversity_Normal,A2
2026-04-26,06:44:28,RD4W/3,-24,-19,5.0,20m,FT8,Diversity_Normal,A2
2026-04-26,06:50:43,VK2VT,-24,-23,1.0,20m,FT8,Diversity_Normal,A2
2026-04-26,06:58:13,R2DX/3,-24,-21,3.0,20m,FT8,Diversity_Normal,A2
2026-04-26,07:08:13,VK2VT,-25,-22,3.0,20m,FT8,Diversity_Normal,A2
2026-04-26,07:55:13,EK/RX3DPK,-24,-23,1.0,20m,FT8,Diversity_Normal,A2
2026-04-26,08:09:13,R9OOF,-24,-20,4.0,20m,FT8,Diversity_Normal,A2
2026-04-26,08:18:13,EA7UW,-24,-19,5.0,20m,FT8,Diversity_Normal,A2
2026-04-26,08:21:13,SP8C,-24,-21,3.0,20m,FT8,Diversity_Normal,A2
2026-04-26,08:22:13,R6DOB/P,-24,-20,4.0,20m,FT8,Diversity_Normal,A2
2026-04-26,08:22:43,RA5AK,-24,-18,6.0,20m,FT8,Diversity_Normal,A2
2026-04-26,08:26:43,HG8LXL,-24,-22,2.0,20m,FT8,Diversity_Normal,A2
